ISO3,Year,actual_funding,pred_funding,funding_gap,funding_ratio_gap,flag_overlooked,flag_overfunded,Latitude,Longitude,Continent
HTI,2024,4026011.8,15082634.025578279,-11056622.225578278,-0.7330697149335864,True,False,18.971187,-72.285215,Americas
HTI,2025,2162359.06,5548368.10399302,-3386009.04399302,-0.6102711609123763,True,False,18.971187,-72.285215,Americas
IRQ,2020,27594112.58,68243015.3902696,-40648902.81026961,-0.5956492774799853,True,False,33.223191,43.679291,MENA
IRQ,2021,25391271.47,22645214.173595786,2746057.2964042127,0.12126435525640122,False,False,33.223191,43.679291,MENA
IRQ,2022,8386519.220000001,30219242.659843776,-21832723.439843774,-0.7224775182356156,True,False,33.223191,43.679291,MENA
JOR,2020,8334514.42,13400809.248111652,-5066294.828111652,-0.3780588719912986,True,False,30.585164,36.238414,MENA
JOR,2021,2022680.58,11361996.130212253,-9339315.550212253,-0.8219784132277983,True,False,30.585164,36.238414,MENA
JOR,2022,400000.02,6414851.899508655,-6014851.8795086555,-0.9376446991659093,True,False,30.585164,36.238414,MENA
LBN,2020,16210106.03,11223586.37341657,4986519.65658343,0.4442893288008334,False,True,33.854721,35.862285,MENA
LBN,2021,25267473.8,25294625.094490144,-27151.294490143657,-0.0010734017360889414,False,False,33.854721,35.862285,MENA
LBN,2022,28340770.36,24883523.89636832,3457246.4636316784,0.1389371729675415,False,False,33.854721,35.862285,MENA
LBN,2023,26686329.11,24473081.831846446,2213247.2781535536,0.09043598568258315,False,False,33.854721,35.862285,MENA
LBN,2024,65617457.71,20020346.194273308,45597111.51572669,2.2775386136314393,False,True,33.854721,35.862285,MENA
LBN,2025,35093106.64,48581776.93622685,-13488670.296226852,-0.2776487635257432,False,False,33.854721,35.862285,MENA
MLI,2023,5347230.34,22188375.237651285,-16841144.897651285,-0.7590075756909715,True,False,17.570692,-3.996166,Africa
MLI,2024,4199985.609999999,10628426.576231953,-6428440.966231953,-0.6048346780329361,True,False,17.570692,-3.996166,Africa
MLI,2025,8012337.23,5502933.247271203,2509403.982728797,0.4560120702850903,False,True,17.570692,-3.996166,Africa
MMR,2020,16544732.78,17552014.09107416,-1007281.3110741619,-0.057388360438156316,False,False,21.916221,95.955974,Asia
MMR,2021,20857614.5,8425010.127045833,12432604.372954167,1.4756782704679745,False,True,21.916221,95.955974,Asia
MMR,2022,24695346.51,29551945.062591154,-4856598.5525911525,-0.1643410794891793,False,False,21.916221,95.955974,Asia
MMR,2023,35639378.82,31322989.284857206,4316389.535142794,0.1378026054885353,False,False,21.916221,95.955974,Asia
