ISO3,Year,actual_funding,pred_funding,funding_gap,funding_ratio_gap,flag_overlooked,flag_overfunded,Latitude,Longitude
NER,2021,12482617.94,58619030.814260446,-46136412.87426045,-0.7870551974911992,True,False,17.607789,8.081666
NER,2022,8999635.84,16429979.470954623,-7430343.630954623,-0.4522430258717117,True,False,17.607789,8.081666
NER,2023,10993493.0,14164310.927122202,-3170817.927122202,-0.22385966697826687,False,False,17.607789,8.081666
NER,2024,8777317.27,15503549.029768275,-6726231.759768276,-0.43385109737475447,True,False,17.607789,8.081666
NER,2025,4998011.6,16089408.18182376,-11091396.58182376,-0.6893601341007518,True,False,17.607789,8.081666
NGA,2020,23358102.5,28137683.339344826,-4779580.839344826,-0.1698640496341628,False,False,9.081999,8.675277
NGA,2021,31434295.69,27920897.50762158,3513398.1823784225,0.12583399876094137,False,False,9.081999,8.675277
NGA,2022,24710819.97,33737988.8461995,-9027168.876199499,-0.26756689372776254,False,False,9.081999,8.675277
NGA,2023,23973602.54,31058431.89870369,-7084829.3587036915,-0.22811291251955956,False,False,9.081999,8.675277
NGA,2024,18999922.94,35591556.490499705,-16591633.550499704,-0.4661676865671338,True,False,9.081999,8.675277
NGA,2025,19498025.21,31260142.130874712,-11762116.920874711,-0.37626562514114803,True,False,9.081999,8.675277
PAK,2020,9681444.56,7288589.622191377,2392854.9378086235,0.3283015043847659,False,False,30.375321,69.345116
PAK,2021,1537348.88,8551965.626198249,-7014616.746198249,-0.8202344411569596,True,False,30.375321,69.345116
PAK,2025,1632784.64,21541221.293893594,-19908436.653893594,-0.9242018538446168,True,False,30.375321,69.345116
PSE,2020,36189901.76,19776876.94244052,16413024.817559477,0.8299098419497,False,True,31.9,35.2
PSE,2021,27779288.3,26531352.380841136,1247935.9191588648,0.04703627245402031,False,False,31.9,35.2
PSE,2022,21390715.94,25703937.056509595,-4313221.116509594,-0.16780390906759002,False,False,31.9,35.2
PSE,2023,87674576.38,24499095.68437111,63175480.69562888,2.578686230281181,False,True,31.9,35.2
PSE,2024,49481106.72,70836961.72021128,-21355855.000211284,-0.30147898048707544,False,False,31.9,35.2
PSE,2025,65928182.11,45862269.13431455,20065912.975685447,0.4375255161692808,False,True,31.9,35.2
SDN,2020,75791589.6,55089964.84229143,20701624.757708564,0.37577850733744445,False,True,12.862807,30.217636
SDN,2021,56864162.64,68233383.9914149,-11369221.351414904,-0.1666225634191817,False,False,12.862807,30.217636
SDN,2022,65576233.53,59263311.23539156,6312922.294608444,0.10652327996884559,False,False,12.862807,30.217636
SDN,2023,81211049.33,55148628.33478248,26062420.995217517,0.47258511738504727,False,True,12.862807,30.217636
SDN,2024,180666178.75,93936491.6069989,86729687.1430011,0.9232800337684652,False,True,12.862807,30.217636
SDN,2025,135176453.04,122722328.23605336,12454124.80394663,0.10148214251600107,False,False,12.862807,30.217636
SOM,2020,36556082.52,50685472.17431272,-14129389.654312715,-0.2787660654658646,False,False,5.152149,46.199616
SOM,2021,46268713.13,52270269.40833279,-6001556.278332785,-0.11481777971046836,False,False,5.152149,46.199616
SOM,2022,71029813.32000001,55153046.39357852,15876766.926421486,0.2878674518379827,False,False,5.152149,46.199616
